Facility,day1,count
BANC Library,2018-05-04T00:00:00Z,548
BANC Library,2018-05-05T00:00:00Z,103
BANC Library,2018-05-06T00:00:00Z,2
BANC Library,2018-05-07T00:00:00Z,528
BANC Library,2018-05-08T00:00:00Z,454
BANC Library,2018-05-09T00:00:00Z,434
BANC Library,2018-05-10T00:00:00Z,433
BANC Library,2018-05-11T00:00:00Z,561
BANC Library,2018-05-12T00:00:00Z,2
BANC Library,2018-05-14T00:00:00Z,378
BANC Library,2018-05-15T00:00:00Z,404
BANC Library,2018-05-16T00:00:00Z,300
BANC Library,2018-05-17T00:00:00Z,377
BANC Library,2018-05-18T00:00:00Z,290
BANC Library,2018-05-19T00:00:00Z,1
BANC Library,2018-05-21T00:00:00Z,376
BANC Library,2018-05-22T00:00:00Z,284
BANC Library,2018-05-23T00:00:00Z,272
BANC Library,2018-05-24T00:00:00Z,279
BANC Library,2018-05-25T00:00:00Z,274
BANC Library,2018-05-29T00:00:00Z,324
BANC Library,2018-05-30T00:00:00Z,359
BANC Library,2018-05-31T00:00:00Z,259
BANC Library,2018-06-01T00:00:00Z,263
BANC Library,2018-06-02T00:00:00Z,22
BANC Library,2018-06-04T00:00:00Z,321
BANC Library,2018-06-05T00:00:00Z,398
BANC Library,2018-06-06T00:00:00Z,305
BANC Library,2018-06-07T00:00:00Z,316
BANC Library,2018-06-08T00:00:00Z,328
BANC Library,2018-06-11T00:00:00Z,312
BANC Library,2018-06-12T00:00:00Z,363
BANC Library,2018-06-13T00:00:00Z,327
BANC Library,2018-06-14T00:00:00Z,336
BANC Library,2018-06-15T00:00:00Z,256
BANC Library,2018-06-18T00:00:00Z,394
BANC Library,2018-06-19T00:00:00Z,428
BANC Library,2018-06-20T00:00:00Z,450
BANC Library,2018-06-21T00:00:00Z,450
BANC Library,2018-06-22T00:00:00Z,378
BANC Library,2018-06-25T00:00:00Z,436
BANC Library,2018-06-26T00:00:00Z,402
BANC Library,2018-06-27T00:00:00Z,400
BANC Library,2018-06-28T00:00:00Z,377
BANC Library,2018-06-29T00:00:00Z,425
DOE Library,2017-07-01T00:00:00Z,81
DOE Library,2017-07-02T00:00:00Z,44
DOE Library,2017-07-03T00:00:00Z,2854
DOE Library,2017-07-04T00:00:00Z,52
DOE Library,2017-07-05T00:00:00Z,2534
DOE Library,2017-07-06T00:00:00Z,2522
DOE Library,2017-07-07T00:00:00Z,2351
DOE Library,2017-07-08T00:00:00Z,1479
DOE Library,2017-07-09T00:00:00Z,1287
DOE Library,2017-07-10T00:00:00Z,2659
DOE Library,2017-07-11T00:00:00Z,2496
DOE Library,2017-07-12T00:00:00Z,2617
DOE Library,2017-07-13T00:00:00Z,2654
DOE Library,2017-07-14T00:00:00Z,2078
DOE Library,2017-07-15T00:00:00Z,1556
DOE Library,2017-07-16T00:00:00Z,1418
DOE Library,2017-07-17T00:00:00Z,2750
DOE Library,2017-07-18T00:00:00Z,2698
DOE Library,2017-07-19T00:00:00Z,2427
DOE Library,2017-07-20T00:00:00Z,2583
DOE Library,2017-07-21T00:00:00Z,2271
DOE Library,2017-07-22T00:00:00Z,1843
DOE Library,2017-07-23T00:00:00Z,1518
DOE Library,2017-07-24T00:00:00Z,2804
DOE Library,2017-07-25T00:00:00Z,2600
DOE Library,2017-07-26T00:00:00Z,2854
DOE Library,2017-07-27T00:00:00Z,2683
DOE Library,2017-07-28T00:00:00Z,2272
DOE Library,2017-07-29T00:00:00Z,1910
DOE Library,2017-07-30T00:00:00Z,1420
DOE Library,2017-07-31T00:00:00Z,2770
DOE Library,2017-08-01T00:00:00Z,2662
DOE Library,2017-08-02T00:00:00Z,2532
DOE Library,2017-08-03T00:00:00Z,2579
DOE Library,2017-08-04T00:00:00Z,1990
DOE Library,2017-08-05T00:00:00Z,1723
DOE Library,2017-08-06T00:00:00Z,1446
DOE Library,2017-08-07T00:00:00Z,2758
DOE Library,2017-08-08T00:00:00Z,2690
DOE Library,2017-08-09T00:00:00Z,2755
DOE Library,2017-08-10T00:00:00Z,2888
DOE Library,2017-08-11T00:00:00Z,2159
DOE Library,2017-08-12T00:00:00Z,139
DOE Library,2017-08-13T00:00:00Z,45
DOE Library,2017-08-14T00:00:00Z,2391
DOE Library,2017-08-15T00:00:00Z,2899
DOE Library,2017-08-16T00:00:00Z,2539
DOE Library,2017-08-17T00:00:00Z,2504
DOE Library,2017-08-18T00:00:00Z,2449
DOE Library,2017-08-19T00:00:00Z,36
DOE Library,2017-08-20T00:00:00Z,50
DOE Library,2017-08-21T00:00:00Z,2674
DOE Library,2017-08-22T00:00:00Z,2648
DOE Library,2017-08-23T00:00:00Z,4628
DOE Library,2017-08-24T00:00:00Z,4450
DOE Library,2017-08-25T00:00:00Z,3871
DOE Library,2017-08-26T00:00:00Z,1668
DOE Library,2017-08-27T00:00:00Z,1161
DOE Library,2017-08-28T00:00:00Z,4918
DOE Library,2017-08-29T00:00:00Z,4888
DOE Library,2017-08-30T00:00:00Z,4479
DOE Library,2017-08-31T00:00:00Z,3980
DOE Library,2017-09-01T00:00:00Z,3581
DOE Library,2017-09-02T00:00:00Z,1949
DOE Library,2017-09-03T00:00:00Z,1713
DOE Library,2017-09-04T00:00:00Z,57
DOE Library,2017-09-05T00:00:00Z,4220
DOE Library,2017-09-06T00:00:00Z,4348
DOE Library,2017-09-07T00:00:00Z,4275
DOE Library,2017-09-08T00:00:00Z,3618
DOE Library,2017-09-09T00:00:00Z,1526
DOE Library,2017-09-10T00:00:00Z,1768
DOE Library,2017-09-11T00:00:00Z,4622
DOE Library,2017-09-12T00:00:00Z,4461
DOE Library,2017-09-13T00:00:00Z,4627
DOE Library,2017-09-14T00:00:00Z,3932
DOE Library,2017-09-15T00:00:00Z,3496
DOE Library,2017-09-16T00:00:00Z,1803
DOE Library,2017-09-17T00:00:00Z,2238
DOE Library,2017-09-18T00:00:00Z,4341
DOE Library,2017-09-19T00:00:00Z,4658
DOE Library,2017-09-20T00:00:00Z,4348
DOE Library,2017-09-21T00:00:00Z,4023
DOE Library,2017-09-22T00:00:00Z,3508
DOE Library,2017-09-23T00:00:00Z,1699
DOE Library,2017-09-24T00:00:00Z,1764
DOE Library,2017-09-25T00:00:00Z,4357
DOE Library,2017-09-26T00:00:00Z,4258
DOE Library,2017-09-27T00:00:00Z,4034
DOE Library,2017-09-28T00:00:00Z,3827
DOE Library,2017-09-29T00:00:00Z,3342
DOE Library,2017-09-30T00:00:00Z,1930
DOE Library,2017-10-01T00:00:00Z,1830
DOE Library,2017-10-02T00:00:00Z,4215
DOE Library,2017-10-03T00:00:00Z,3948
DOE Library,2017-10-04T00:00:00Z,4141
DOE Library,2017-10-05T00:00:00Z,4376
DOE Library,2017-10-06T00:00:00Z,3256
DOE Library,2017-10-07T00:00:00Z,1791
DOE Library,2017-10-08T00:00:00Z,1666
DOE Library,2017-10-09T00:00:00Z,4129
