Date-Time,Region,Facility,Entrance,Entries,Exits
7/7/18 12:00 AM,UC Berkeley,GRDS Library,GRAD,0,0
7/7/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,3,3
7/7/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,248,9
7/7/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,15,185
7/7/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,318,378
7/7/18 12:00 AM,UC Berkeley,MORR Library,Morrison,22,10
7/7/18 12:00 AM,UC Berkeley,MUSI,MUSI,0,0
7/7/18 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/7/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,0,0
7/7/18 12:00 AM,UC Berkeley,PHYS Library,PHYS,0,0
7/7/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,0,0
7/7/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,1,1
7/7/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,0,0
7/8/18 12:00 AM,UC Berkeley,AHC Library,AHC Back,0,0
7/8/18 12:00 AM,UC Berkeley,AHC Library,AHC Front,0,0
7/8/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,5,5
7/8/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,4,4
7/8/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,0,0
7/8/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,27,28
7/8/18 12:00 AM,UC Berkeley,DOE Library,Doe North,845,759
7/8/18 12:00 AM,UC Berkeley,DOE Library,Doe South,303,395
7/8/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,100,90
7/8/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,145,135
7/8/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,0,0
7/8/18 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/8/18 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/8/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,0,0
7/8/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,0,0
7/8/18 12:00 AM,UC Berkeley,GRDS Library,GRAD,0,0
7/8/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,0,0
7/8/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,374,9
7/8/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,10,301
7/8/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,318,391
7/8/18 12:00 AM,UC Berkeley,MORR Library,Morrison,20,11
7/8/18 12:00 AM,UC Berkeley,MUSI,MUSI,0,0
7/8/18 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/8/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,0,0
7/8/18 12:00 AM,UC Berkeley,PHYS Library,PHYS,0,0
7/8/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,0,2
7/8/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,1,1
7/8/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,0,0
7/9/18 12:00 AM,UC Berkeley,AHC Library,AHC Back,0,0
7/9/18 12:00 AM,UC Berkeley,AHC Library,AHC Front,0,0
7/9/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,496,450
7/9/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,175,218
